날짜,요일,경기시간,장소,팀1명,팀2명,홈/원정,게임결과,팀1 점수,팀2 점수,팀1 1이닝점수,팀1 2이닝점수,팀1 3이닝점수,팀1 4이닝점수,팀1 5이닝점수,팀1 6이닝점수,팀1 7이닝점수,팀1 8이닝점수,팀1 9이닝점수,팀1 10이닝점수,팀1 11이닝점수,팀1 12이닝점수,팀2 1이닝점수,팀2 2이닝점수,팀2 3이닝점수,팀2 4이닝점수,팀2 5이닝점수,팀2 6이닝점수,팀2 7이닝점수,팀2 8이닝점수,팀2 9이닝점수,팀2 10이닝점수,팀2 11이닝점수,팀2 12이닝점수
2024-03-23,(토),14:00,잠실,한화,LG,원정,패,2,8,0,0,0,2,1,0,1,3,0,1,0,0,0,1,0,1,0,-,-,-,-,-,-,-
2024-03-24,(일),14:00,잠실,한화,LG,원정,승,8,4,0,0,0,0,0,1,1,0,1,0,1,0,0,1,4,0,1,2,-,-,-,-,-,-
2024-03-26,(화),18:30,문학,한화,SSG,원정,승,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,-,-,-,-,-,-
2024-03-27,(수),18:30,문학,한화,SSG,원정,승,3,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,-,-,-,-,-,-
2024-03-28,(목),18:30,문학,한화,SSG,원정,승,10,6,0,0,0,0,2,0,0,0,5,2,1,0,1,3,0,1,1,0,-,-,-,-,-,-
2024-03-29,(금),18:30,대전,KT,한화,홈,승,2,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,-,-,-,-,-,-
2024-03-30,(토),14:00,대전,KT,한화,홈,승,5,8,0,0,0,0,0,4,0,1,2,1,1,0,0,2,0,0,2,-,-,-,-,-,-,-
2024-03-31,(일),14:00,대전,KT,한화,홈,승,3,14,0,0,0,7,0,4,1,0,0,0,0,0,0,2,0,1,2,-,-,-,-,-,-,-
2024-04-02,(화),18:30,대전,롯데,한화,홈,패,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-,-,-,-,-,-
2024-04-04,(목),18:30,대전,롯데,한화,홈,승,5,6,0,0,0,0,1,0,1,1,2,3,0,0,0,2,0,0,1,-,-,-,-,-,-,-
2024-04-05,(금),18:30,고척,한화,키움,원정,패,7,11,0,0,0,0,1,0,3,0,0,10,0,0,3,0,0,1,0,-,-,-,-,-,-,-
2024-04-06,(토),17:00,고척,한화,키움,원정,패,6,7,0,4,1,0,0,2,0,0,0,0,1,0,2,1,0,0,2,-,-,-,-,-,-,-
2024-04-07,(일),14:00,고척,한화,키움,원정,패,3,4,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,-,-
